"","predictions"
"305",289799.569658358
"306",267187.815464956
"307",268019.053160151
"308",71006.9255092975
"309",128044.634615735
"310",138049.381024141
"311",346313.84542796
"312",139011.571900965
"313",221811.207367996
"314",210578.316110492
"315",248496.34077354
"316",229283.179360319
"317",311872.642719035
"318",215936.470155647
"319",455039.115281447
"320",108625.369221825
"321",169715.059392209
"322",198326.242044949
"323",124363.252468868
"324",99441.5025559486
"325",376708.721509609
"326",17406.3889327536
"327",216593.406517354
"328",110184.779068378
"329",313417.407003012
"330",339402.062961278
"331",336946.838125666
"332",156219.805324349
"333",255057.50654431
"334",403523.821761837
"335",253272.948586015
"336",64087.7729194746
"337",233860.326053046
"338",277505.90089599
"339",304234.579677064
"340",232405.386686321
"341",355811.159707127
"342",230014.406788851
"343",286271.322052541
"344",79637.709890675
"345",259280.718172854
"346",158025.248164571
"347",203066.046321104
"348",329971.27007405
"349",346740.871055999
"350",299010.987245203
"351",218727.106634352
"352",191418.397499692
"353",375349.83675369
"354",161343.889613555
"355",99654.1341461623
"356",198964.115290174
"357",71147.529055766
"358",268853.867849639
"359",252397.733580563
"360",177651.573910404
"361",261955.389862429
"362",87974.1962334796
"363",131368.222313522
"364",104455.118052969
"365",258504.487419602
"366",127038.37663477
"367",634981.262648996
"368",87370.0588922018
"369",130047.926410511
"370",102945.984249076
"371",65098.0079623131
"372",191340.689600029
"373",242361.367994198
"374",446759.84421412
"375",240503.793090125
"376",332495.444764658
"377",161269.549991413
"378",109707.946594601
"379",111866.874760879
"380",362348.380865247
"381",184326.844477088
"382",230623.471341588
"383",72495.9319268463
"384",160732.281919642
"385",225080.60869296
"386",254288.54336857
"387",312033.505033113
"388",302885.149144
"389",180927.08512467
"390",136516.683304136
"391",157967.539529007
"392",203745.411959022
"393",222483.432877301
"394",338061.480272592
"395",228802.193719123
"396",288001.776853123
"397",282918.339285956
"398",264666.300658308
"399",111969.28773465
"400",327252.990347697
"401",259755.04709559
"402",503419.695639381
"403",283196.551257936
"404",254555.666910547
"405",235200.158067667
"406",120169.102727881
"407",301558.402015019
"408",302143.422693975
"409",199613.241019742
"410",145704.108215771
"411",170142.604112683
"412",235847.780223274
"413",279964.23098818
"414",346061.342830662
"415",167351.599041269
"416",285079.523414619
"417",238922.823470021
"418",145871.133441951
"419",318229.688333136
"420",250964.733098418
"421",265749.218545952
"422",167737.925257289
"423",178028.953726085
"424",266981.505525923
"425",452888.718517868
"426",106615.065028068
"427",186933.063365684
"428",69610.1469573402
"429",105025.003544526
"430",86154.5199751806
"431",-33972.1548588528
"432",178802.745646855
"433",178111.034712917
"434",308273.154892599
"435",246463.023865286
"436",135890.868293197
"437",412776.086175114
"438",106903.042628531
"439",151515.348559997
"440",261313.205406047
"441",150702.615319477
"442",344893.175821119
"443",252364.816351912
"444",124656.177890235
"445",136909.036189519
"446",123683.757587221
"447",193059.873961189
"448",253001.267714456
"449",215901.601315505
"450",340545.668513979
"451",263341.973939272
"452",58446.0785078859
"453",140501.556061043
"454",158856.261816818
"455",109996.219537441
"456",134396.357521288
"457",298143.782376658
"458",138113.001833758
"459",400118.84506749
"460",252372.35718046
"461",251414.990924986
"462",169383.583832125
"463",166361.542229129
"464",248513.693268837
"465",266765.087224265
"466",261900.508048984
"467",152668.760014294
"468",154037.746056966
"469",268990.837875934
"470",262812.189230384
"471",135329.429940021
"472",167246.066787773
"473",99512.4606460159
"474",330808.674486802
"475",183167.95884258
"476",248476.712535162
"477",198956.089511055
"478",201394.900580098
"479",168333.729059629
"480",210253.963519017
"481",275832.992215848
"482",101548.301607869
"483",292625.170375345
"484",220581.583941379
"485",174584.844203776
"486",107049.914259279
"487",113881.744694024
"488",250699.592594624
"489",171204.112031039
"490",257388.284254049
"491",71416.5026907538
"492",336245.727899761
"493",346162.466568042
"494",102859.476757961
"495",82187.9749443533
"496",97285.0798287199
"497",245535.686708532
"498",137447.650004776
"499",312091.195391382
"500",28012.4279760054
"501",456306.257540356
"502",288206.401406183
"503",163309.069719749
"504",232752.006528099
"505",249517.30819238
"506",414623.424729156
"507",186310.060739548
"508",178613.088295901
"509",157438.702080826
"510",127749.782856148
"511",334265.4889263
"512",170602.672950367
"513",210996.184035142
"514",312309.248364411
"515",235951.549278979
"516",163661.03542105
"517",155712.513592946
"518",340906.488710798
"519",86699.2878624944
"520",246427.990075815
"521",192601.463189158
"522",322982.753371057
"523",224446.133774875
"524",244349.880450583
"525",46346.6712321976
"526",291554.687585241
"527",246909.663034521
"528",161417.89809021
"529",283891.079061728
"530",68353.6140678165
"531",76549.5148691228
"532",98735.5732460882
"533",243870.055693613
"534",246227.948415438
"535",256694.052705854
"536",221648.032295398
"537",193016.622088012
"538",204520.682756295
"539",341171.334198973
"540",192094.3691959
"541",143453.319343296
"542",155748.404828341
"543",332466.179149005
"544",361233.075617212
"545",204148.216477149
"546",226047.539183888
"547",219784.073060132
"548",177403.164067492
"549",173275.795998537
"550",661263.994586078
"551",256131.663881458
"552",219503.956017767
"553",300031.594051811
"554",382728.756884344
"555",252963.459004614
"556",60518.6358365824
"557",268728.333995565
"558",161349.660772962
"559",209485.944355397
"560",163313.955686597
"561",197587.224841043
"562",369432.589474373
"563",261864.801389715
"564",234890.467078951
"565",236957.210620108
"566",217287.337617105
"567",210858.694929588
"568",239677.297094606
"569",125101.7908247
"570",212485.66815479
"571",226263.791128167
"572",299762.764040974
"573",139629.128823146
"574",372383.180135232
"575",286718.459578788
"576",151162.706161082
"577",284830.827847464
"578",246326.920782664
"579",261948.841197457
"580",139645.65655373
"581",213453.21785876
"582",72181.0880292858
"583",74769.805435776
"584",99433.6427856065
"585",196560.90429091
"586",204273.558511309
"587",200546.323296051
"588",188931.12388014
"589",36952.9793851608
"590",94106.6975837511
"591",161106.288120823
"592",121996.463060372
"593",234339.740385835
"594",148027.159716103
"595",160634.542263327
"596",252809.349061653
"597",90266.034513269
"598",121512.277667974
"599",103986.236251091
"600",154245.99842241
"601",314941.364687626
"602",343547.877152158
"603",84973.3156391729
"604",158211.250999328
"605",186898.866669335
"606",205821.846371484
"607",87890.1600548483
"608",96911.5223660134
"609",69644.2289568131
"610",108946.142914066
"611",269043.461315516
"612",207298.620996154
"613",300284.74084494
"614",23299.5887871524
"615",133740.525246141
"616",113014.930411385
"617",297434.527064905
"618",293351.495680038
"619",280838.473993606
"620",143621.571510135
"621",87571.3969365814
"622",258549.882753454
"623",175326.484613197
"624",55982.6944173674
"625",59587.8428226238
"626",85287.7343446739
"627",373032.646024856
"628",190614.185556346
"629",173023.366833342
"630",203754.610886888
"631",282645.867548421
"632",55383.043664337
"633",186960.210014064
"634",266190.322165483
"635",308022.022271133
"636",36402.6477998838
"637",148267.544073908
"638",116349.562978908
"639",129893.78026212
"640",128671.687690894
"641",12048.9252418006
"642",478845.085866484
"643",132018.124206888
"644",166564.149842211
"645",318481.471413291
"646",243799.58583405
"647",353967.277728439
"648",201529.800394624
"649",168335.095488963
"650",317519.177937894
"651",136019.707941232
"652",235114.046608186
"653",182410.325264675
"654",95050.7303424124
"655",361736.142739904
"656",267039.331531511
"657",105666.232995344
"658",217614.962473452
"659",66916.6731517911
"660",166932.265353517
"661",204667.70810784
"662",251030.41982909
"663",297439.70764894
"664",57526.5342902259
"665",342968.969980376
"666",253952.671333213
"667",218435.287983193
"668",262673.448653477
"669",226602.209825206
"670",249799.930296314
"671",118973.613183167
"672",145667.545948051
"673",132847.722582144
"674",151562.566699608
"675",151655.626863616
"676",92433.7708013669
"677",254781.959279795
"678",262700.132237365
"679",167676.361917647
"680",238793.200609072
"681",144788.027145692
"682",124283.277678111
"683",299828.504416068
"684",212018.915001829
"685",136491.585685566
"686",155367.50979395
"687",218958.851663303
"688",242906.66682675
"689",367914.690708129
"690",212233.646092409
"691",418673.251723952
"692",244831.455898947
"693",239519.195556878
"694",305519.078483128
"695",194456.865445015
"696",228782.929140975
"697",59765.637070335
"698",167522.643496628
"699",289427.708942841
"700",253326.691193828
"701",174520.13586281
"702",229828.503239835
"703",292173.280224853
"704",276162.391910242
"705",336534.853071073
"706",237800.084412079
"707",154116.563525757
"708",197599.282370904
"709",264824.84876577
"710",156729.240318882
"711",201888.495054752
"712",244906.498974861
"713",239822.378781909
"714",320387.505476288
"715",154051.501880815
"716",77179.1641911909
"717",113824.74118668
"718",228085.962376094
"719",273705.227634829
"720",154216.913630904
"721",98769.7764843746
"722",233473.903281599
"723",133284.376334801
"724",231444.741303677
"725",108489.227051554
"726",243528.548432382
"727",114374.886764716
"728",211213.983199825
"729",376560.530305297
"730",101498.240036463
"731",285251.722194783
"732",271676.505793632
"733",184497.029208062
"734",172683.28505772
"735",285070.11519041
"736",232325.827784401
"737",337533.230712088
"738",322115.065571111
"739",253526.952534892
"740",287743.017282344
"741",171564.613006445
"742",235490.129783344
"743",188046.835856628
"744",380388.409131412
"745",149139.560385006
"746",296728.341262971
"747",222719.370962541
"748",259446.170871886
"749",205263.25295771
"750",269094.652392871
"751",202014.960570483
"752",87933.9807574252
"753",107568.267772136
"754",153206.837301163
"755",92454.9035459811
"756",165552.118545329
"757",226637.319686688
"758",332338.19844802
"759",188858.103857705
"760",225981.705489286
"761",279901.084688883
"762",213710.400166089
"763",69534.3760336958
"764",221982.664348412
"765",209207.911816285
"766",246418.215963604
"767",281987.302661205
"768",107094.46310039
"769",302676.423572722
"770",277032.354371698
"771",287881.625177581
"772",127236.800250382
"773",186236.303724669
"774",221226.904354551
"775",162317.784973916
"776",94590.6890118543
"777",155867.364560563
"778",304115.328577509
"779",208525.711156385
"780",267733.073775037
"781",230010.988025772
"782",316266.091685101
"783",313561.062242747
"784",351628.250577216
"785",73888.2917456434
"786",284607.580769232
"787",175063.225470351
"788",290120.529401989
"789",208750.208368832
"790",205757.386204184
"791",123054.687340622
"792",110879.736675978
"793",207347.48256942
"794",205894.182449374
"795",36584.440309688
"796",145467.744950119
"797",395435.568476054
"798",101776.273634254
"799",249493.209073184
"800",276825.079212472
"801",200738.746854928
"802",205302.446287849
"803",168396.648314204
"804",301890.16867811
"805",146037.660012362
"806",142142.163142292
"807",248489.949415756
"808",211231.983750074
"809",132767.036458737
"810",130704.886665268
"811",240704.507232405
"812",395693.666637333
"813",309670.660020968
"814",277407.325574264
"815",231699.337400695
"816",134420.081528012
"817",253153.664193927
"818",93500.4395278375
"819",281666.049250982
"820",94481.9864152673
"821",123014.227789345
"822",265328.377227277
"823",298671.049535892
"824",102444.355292593
"825",155778.78268904
"826",278030.410360528
"827",90063.9990201983
"828",147648.027623393
"829",162658.645182302
"830",240962.594386225
"831",170934.799676255
"832",215405.856236375
"833",307595.588447709
"834",279086.942410404
"835",177954.252658553
"836",206092.462657923
"837",299956.98532491
"838",189250.852979603
"839",401659.452666986
"840",243485.835953747
"841",124008.634914878
"842",200405.922639458
"843",259053.463836137
"844",244546.575256309
"845",370383.533451016
"846",195219.406061655
"847",158431.299817375
"848",205316.351162329
"849",190318.582958156
"850",249808.405392433
"851",285895.706393312
"852",130892.545524665
"853",206577.450734108
"854",141527.02681665
"855",38239.2179901481
"856",301470.598940308
"857",137252.27475953
"858",105661.260311201
"859",213939.065356779
"860",90813.3879976643
"861",245022.386433293
"862",228029.205425531
"863",104159.86306566
"864",88709.2026074417
"865",120970.132044373
"866",150460.081686942
"867",228833.57470477
"868",132563.882600842
"869",237382.156647638
"870",249325.589487669
"871",293771.837535736
"872",165968.491465662
"873",178202.148959568
"874",213842.69808462
"875",230653.121860456
"876",42589.9539214579
"877",148074.596492306
"878",278050.250835604
"879",429854.18833041
"880",36406.5829002031
"881",125819.657909544
"882",430555.766006152
"883",161200.520310466
"884",253505.167609182
"885",151532.294881516
"886",239751.090976887
"887",174880.292283377
"888",116126.878043894
"889",177510.473820781
"890",140522.804145167
"891",219969.045274758
"892",202029.746155443
"893",105438.247241884
"894",84147.3434250554
"895",112604.547438128
"896",88828.5732812287
"897",90191.6422349839
"898",218735.030993889
"899",131430.112477789
"900",70037.0176573997
"901",229897.893376157
"902",385958.427302908
"903",135573.96462645
"904",137467.718604119
"905",69313.2339476982
"906",233808.329162973
"907",289040.263146926
"908",533554.078533039
"909",20647.7368332022
"910",252046.359163904
"911",151398.126421267
"912",269552.344630913
"913",99655.323941346
"914",189037.784562853
"915",195943.792763453
"916",256381.968026775
"917",277899.594635702
"918",52619.4362675344
"919",76274.7873182998
"920",186161.6452159
"921",264365.119768853
"922",184593.352506974
"923",273102.324972732
"924",177317.630289632
"925",166010.93638066
"926",283632.88835526
"927",223396.854719411
"928",212454.545656271
"929",234123.194182454
"930",276813.45845103
"931",69586.5122401233
"932",211184.359963231
"933",286346.645159703
"934",264205.375465091
"935",148586.073394524
"936",153758.719933911
"937",53152.4960863882
"938",136365.668501002
"939",269217.902878685
"940",272869.993964929
"941",121796.776810577
"942",71350.8938320174
"943",242808.437404447
"944",196012.397310112
"945",167242.377624473
"946",232474.33255409
"947",227439.204610754
"948",305455.192259377
"949",200535.025123478
"950",176772.564083227
"951",279429.489669264
"952",328203.396525049
"953",211272.77414029
"954",254583.21328091
"955",155460.948349418
"956",374251.707896655
"957",186869.458556441
"958",377669.793611801
"959",199887.006234843
"960",275766.508769112
"961",279331.584211508
"962",209917.411763462
"963",117999.319938191
"964",221008.305814399
"965",160958.160251567
"966",306918.660208005
"967",111154.064915357
"968",238264.684123355
"969",286900.51013115
"970",289038.013016415
"971",176284.984908612
"972",184495.868279183
"973",297966.632641578
"974",157918.041328696
"975",290625.200969414
"976",78524.20755342
"977",201045.559912272
"978",230665.948746834
"979",159244.025310926
"980",198999.429972363
"981",351080.301565615
"982",122318.853926937
"983",338627.167864455
"984",287084.614113075
"985",123294.68937547
"986",91082.759190873
"987",117089.465684889
"988",164038.599302405
"989",262852.695233406
"990",409058.360119342
"991",370644.700462905
"992",291048.649572814
"993",114217.423184907
"994",126809.369986425
"995",645603.984067871
"996",218884.773486419
"997",211308.373658104
"998",194667.715416555
"999",199327.590742282
"1000",279898.567995128
"1001",156536.728428193
"1002",90042.3699424168
"1003",172690.524634408
"1004",24539.6505897299
"1005",167327.016936977
"1006",102474.182530598
"1007",226144.102218052
"1008",336449.22402411
"1009",124715.004065097
"1010",46561.6004041577
"1011",413551.462453022
"1012",101595.643975352
"1013",240341.450791239
"1014",71471.6211169556
"1015",147871.451764342
"1016",101860.274609196
"1017",240139.797593857
"1018",268641.402858859
"1019",264272.528403698
"1020",204433.507471463
"1021",3428.01846928752
"1022",326190.391076514
"1023",86346.5575851992
"1024",80568.0292612511
"1025",128250.394331375
"1026",164302.041053192
"1027",178319.199312316
"1028",191734.99252451
"1029",247292.680772708
"1030",285683.948527708
"1031",179654.986775361
"1032",46823.1333319016
"1033",147080.146653837
"1034",266995.409159673
"1035",381678.682789159
"1036",218241.572172807
"1037",136668.430727729
"1038",206826.268471228
"1039",277234.078829862
"1040",140258.189095592
"1041",153588.98715522
"1042",118730.349116495
"1043",155673.785845905
"1044",324191.691673411
"1045",249774.647799488
"1046",230467.144907492
"1047",209693.76945347
"1048",272502.410834059
"1049",197731.22696484
"1050",272018.473575588
"1051",182111.769973747
"1052",196475.680716597
"1053",181591.813167287
"1054",261256.845087811
"1055",397078.731103028
"1056",246805.69660525
"1057",224880.161763926
"1058",228741.990280159
"1059",61564.2513551216
"1060",2804.14516316784
"1061",227359.658674427
"1062",134132.821050976
"1063",184171.59608101
"1064",198568.97102408
"1065",241450.801606618
"1066",171823.749459484
"1067",258870.695716211
"1068",218012.282676207
"1069",226785.217622571
"1070",41894.5609256014
"1071",51130.8854244817
"1072",189591.659027464
"1073",134762.023885162
"1074",161580.065531262
"1075",274437.58506888
"1076",303600.177544384
"1077",163432.134843564
"1078",107654.768110936
"1079",487453.356697615
"1080",220046.754576407
"1081",252272.662051893
"1082",168357.96366391
"1083",231276.057163057
"1084",126678.628344343
"1085",336078.91145029
"1086",113912.855914801
"1087",212695.698585621
"1088",232955.49068591
"1089",327388.855358757
"1090",283591.073657435
"1091",129226.938947943
"1092",266154.19159772
"1093",35585.8003271389
"1094",16020.0326406804
"1095",219552.48094012
"1096",126627.55137441
"1097",396177.038153899
"1098",267438.163111527
"1099",126293.650545545
"1100",194685.548441117
"1101",95981.8694657832
"1102",285437.448100885
"1103",285276.582324715
"1104",271573.109772426
"1105",170076.644153761
"1106",264634.87200019
"1107",63798.779507988
"1108",329130.386263481
"1109",123510.452006353
"1110",276035.846546945
"1111",361243.772978566
"1112",157068.562043693
"1113",385906.599262079
"1114",189144.70869224
"1115",200535.731135737
"1116",325393.891001438
"1117",141671.415959563
"1118",240945.886966272
"1119",140202.501724833
"1120",305527.748812172
"1121",62319.3093699743
"1122",219473.322902383
"1123",135868.85938788
"1124",254562.028084789
"1125",24715.49754774
"1126",62061.2501180061
"1127",224669.676564066
"1128",173784.203990956
"1129",111364.749743102
"1130",158130.012625711
"1131",294080.154792504
"1132",181132.595099654
"1133",273913.694937361
"1134",240571.166429228
"1135",104589.11603794
"1136",257603.771257402
"1137",278406.498561353
"1138",48190.2685960992
"1139",241373.717925518
"1140",325492.842168835
"1141",193358.811857391
"1142",91253.5583969481
"1143",243106.722116746
"1144",264034.00467001
"1145",70310.7980365137
"1146",234704.12894006
"1147",118676.543949429
"1148",162144.281824548
"1149",86688.8103688315
"1150",251250.806700322
"1151",179229.197454632
"1152",212549.134658334
"1153",153305.9769113
"1154",235287.303703632
"1155",319408.521135048
"1156",354364.10800484
"1157",224582.969694682
"1158",202772.850088497
"1159",256568.719214875
"1160",210129.356969041
"1161",218319.886240929
"1162",375863.429305312
"1163",203640.720580503
"1164",156520.816016602
"1165",265886.359948714
"1166",94828.6398090033
"1167",340216.671588903
"1168",151568.251442826
"1169",214479.780579396
"1170",230217.411771272
"1171",196619.50015936
"1172",169623.840351631
"1173",370294.727555487
"1174",295026.772261503
"1175",294202.56615689
"1176",382681.151694722
"1177",176288.07659195
"1178",133426.915226733
"1179",213992.090966738
"1180",100450.241087484
"1181",142444.959579002
"1182",169265.440178078
"1183",259494.015451362
"1184",235984.358184525
"1185",361340.140340159
"1186",242523.470464866
"1187",129403.050092298
"1188",234443.882076471
"1189",299198.93839648
"1190",231808.122020688
"1191",387634.751601577
"1192",229236.009401996
"1193",378504.048150041
"1194",337997.38811144
"1195",252392.708267095
"1196",164380.237714491
"1197",157967.803431255
"1198",202526.362725653
"1199",189461.612756965
"1200",166236.670764024
"1201",112351.873865578
"1202",14452.5602614868
"1203",88048.5291053901
"1204",181037.915860756
"1205",287162.543124428
"1206",131098.999244276
"1207",225799.099772793
"1208",218618.429684121
"1209",247455.776302167
"1210",252249.976387092
"1211",329165.638855589
"1212",117610.959750669
"1213",141264.590333864
"1214",136181.266355761
"1215",118012.723898514
"1216",189841.621053512
"1217",212126.451267422
"1218",285308.403377017
"1219",56104.9473045054
"1220",378309.502804773
"1221",233551.745490858
"1222",250145.069656067
"1223",208235.035093506
"1224",251527.997345827
"1225",98931.2843371251
"1226",298951.34253477
"1227",134340.922233216
"1228",193770.902531644
"1229",195073.317070419
"1230",233051.506824356
"1231",185870.220875659
"1232",113517.309656062
"1233",208764.28468764
"1234",265845.35027402
"1235",259784.896293633
"1236",246314.91732275
"1237",242780.109787229
"1238",234484.518045483
"1239",192758.867715678
"1240",73434.0268778601
"1241",210715.454231937
"1242",212830.094723296
"1243",129762.246110862
"1244",260986.863458444
"1245",171197.685008117
"1246",162748.788484589
"1247",127407.676800586
"1248",436211.821370182
"1249",241939.134159657
"1250",207966.671773724
"1251",289810.105488599
"1252",57900.2862218758
"1253",253699.69950264
"1254",224958.36584248
"1255",177474.010719121
"1256",182912.098633264
"1257",287781.324317964
"1258",189001.619029604
"1259",265519.549573583
"1260",117626.341248445
"1261",279303.352744584
"1262",267708.930027424
"1263",138518.499275941
"1264",237271.452326771
"1265",242358.527150627
"1266",259570.84556615
"1267",321255.171085086
"1268",255452.787123461
"1269",244482.970444834
"1270",197785.714380525
"1271",255261.427324337
"1272",152640.953630249
"1273",220132.89966492
"1274",108882.268387924
"1275",218860.2840829
"1276",106550.611628885
"1277",74986.7365945406
"1278",268752.202501546
"1279",90054.9701071479
"1280",259959.510905362
"1281",116486.385194763
"1282",100609.332218537
"1283",199256.806724345
"1284",295941.527286415
"1285",284252.376882607
"1286",247835.769546709
"1287",154702.349651739
"1288",79809.3552705771
"1289",155925.50956634
"1290",129995.715353232
"1291",283747.174022478
"1292",194209.392995384
"1293",203698.201569842
"1294",245468.200385654
"1295",243835.087683473
"1296",115612.48361017
"1297",230046.575209266
"1298",292960.267738719
"1299",74192.5526745561
"1300",162627.826512286
"1301",87163.4031493767
"1302",267754.52815092
"1303",498326.276720009
"1304",161315.019716825
"1305",196232.470195395
"1306",281335.653074888
"1307",354619.912474276
"1308",275673.006321471
"1309",160707.834107282
"1310",315527.34433605
"1311",370592.54039036
"1312",220803.503086302
"1313",257384.642690976
"1314",283775.731822878
"1315",185343.257642246
"1316",285994.107586447
"1317",222119.373699707
"1318",95802.5035520783
"1319",99745.0900903475
"1320",124263.433608698
"1321",174786.443064154
"1322",368453.629989447
"1323",139511.584475631
"1324",80893.1885905979
"1325",161874.139090167
"1326",295035.710119231
"1327",77515.1789350381
"1328",200739.886750031
"1329",71609.5162930853
"1330",157229.790706013
"1331",277561.984532786
"1332",202337.515437373
"1333",246288.971241674
"1334",433617.910548827
"1335",315205.644412356
"1336",295396.269628311
"1337",210448.81581744
"1338",63111.1315226745
"1339",262836.708809625
"1340",83544.1048438799
"1341",151387.882012787
"1342",175982.486798066
"1343",152232.625658836
"1344",123932.098624042
"1345",162531.449396418
"1346",173792.56219695
"1347",253429.625148122
"1348",168275.322978579
